gene_ID,DRR016125,DRR016126,DRR016127,DRR016128,DRR016129,DRR016130,DRR016131,DRR016132,DRR016133,DRR016134,DRR016135,DRR016136,DRR016137,DRR016138,DRR016139,DRR016140
AT1G01730,7,5,26,1,13,3,42,9,11,10,38,6,3,2,26,5
AT1G01740,1,0,13,1,1,0,4,0,0,0,17,0,0,0,6,1
AT1G01750,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0
AT1G01760,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0
AT1G01770,1,5,8,1,6,8,6,2,13,14,6,3,10,7,1,3
AT1G01780,17,11,4,2,8,24,14,0,5,9,9,13,4,2,12,0
AT1G01790,6,8,10,23,19,7,6,43,4,8,18,33,6,7,15,15
AT1G01800,15,12,27,3,11,9,11,12,11,2,4,23,15,4,21,6
AT1G01810,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AT1G01820,17,15,5,9,7,29,8,3,15,14,5,2,22,16,6,1
AT1G01830,2,13,3,2,1,5,2,8,1,2,2,4,1,2,4,2
AT1G01840,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0
AT1G01860,2,1,0,1,1,1,2,2,0,0,1,1,1,0,3,0
AT1G01870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01880,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AT1G01890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
